example	label
The gift that keeps giving .	noHate
The child abuse of white children happens every day in American schools .	noHate
If ra-heem had a gat wit 17 bumps and jose ' dised him in front of OG peeps and he capped dat bitch twice den double tapp hector jus cause he be dere , monique pregnant , say ra-heem baby daddy , how much welfare they get ? multiply food stamps X project housing add free utilities , stolen cars and drugs sold to find out why they are still poor	hate
they need to feel it on their skin , so next time they wont give my land to the some subhuman muslim dogs .	hate
Holocaust is a Holohoax .	hate
Teach them to be strong and healthy do not let them watch television , if you have to for some reason only let them watch good morale shows , maybe the Brady Bunch ?	noHate
Such is the sign of our time ...	noHate
Marxist Subversion happened .	hate
Also, it 's so sad to see so much pre made crap in their grocery buys .	noHate
Compared to the stunningly beautiful white Swedish females she is just a barfy mixed breed dog .	hate
I thought Bono and Clooney were picking up the tab for Africa ??	noHate
